"review","NPS"
"В мобильной версии браузера , Когда мы доходим до поля ФИО клиента,оно вылетает, до этого момента все работает хорошо. Хотим мобильное приложение очень; чтобы через мобильный браузер все работало как через компьютер; все устраивает; претензий к работе сотрудников нет; менеджер каналов нас привлекает, по-этому выбрали вас.Оповещение по эл почте-нам нравится, а оповещение по смс- либо мы не разобрались, либо его нет,а хотелось чтобы было.","9"
"не подключена данная возможность в нашем регионе; у нас пока руки не дошли,времени нет; почасовое бронирование, и еще одну услугу забыла,вылетело из головы; бронирование инвентаря и сауны данного комплекса; в мобильной версии браузера не сразу срабатывает сохранение бронирования, приходится к компьютеру прибегать..","7"
"Всего хватает; сервис просто надо дорабатывать; не знает почему его нужно дорабатывать, в целом претензий нет; все устраивает; не возникало проблем; Ничего/обычный сервис","8"
"Чтобы работало быстро фмс , не висло; все устраивает; все устраивает; данные сразу переходят в фмс; точно нет, программа зависает, ранее все рассказал","8"
"Сайт переделывали; гостя обзвонили не поменялся цвет, акт выполненных работ по фамильно не возможно сделать, отчет по кассе по фамильно не сделать, программа виснет, ваучер подтверждения (предоплата) не возможно сделать, сразу при бронировании номер падает в общий, не присвается койко-место, приходится присваивать номер вручную; я все сказал ранее, глупый вопрос; виснет программа, шахматка висит.","5"
"уже сказали; нет, нормально всё, отлично, на вопросы сразу отвечают, никаких претензий; они очень адекватные, отзывчивые, сотрудники у вас хорошо подобраны; просто хорошая, стабильная работа, я доволен","8"
"увеличить количество сайтов, которые сотрудничают и пользуются сервисом; уже сказали; возникают проблемы с распечаткой чека, но не знает точно, ошибка ли это или не верно всё вносит (не дословно, прослушайте)","6"
"Не совсем удобно, если ,например, в календаре, где есть бронирование,ранний или поздний заезд,то когда он подключен с букингом, то в букинге они не закрывают бронирование; чтобы номер нельзя было забронировать с других площадок при условии раннего или позднего заезда;","6"
"Все работает/нет проблем; все устраивает; все устраивает; удобный интерфейс, все видно и понятно","10"
"В счете, когда указывается дежурный администратор, а не генеральный директор, менялся каждый раз. ; чтобы счет когда выходил подписывало сразу готовое; подвисает программа; чтобы не подвисало; все устраивает; все хорошо; техподдержка круглосуточная, пока др преимуществ не увидела","4"
"есть неудобства, у нас дело в том, что часто приходится эти менеджеры каналов закрывать, чтобы не было перебронирования, мы не можем отменить если сделано по букингу например; потому что у нас сайт еще в разработке.","2"
"Мне не хватает не просто в Контуре, а как вы спросили Контур МВД регистрируем мы или нет. У вас одни из конкурентов — это Скала. Они недавно нам прислали свое коммерческое предложение, мы сравнивали. У них в этой системе есть одно преимущество – именно в регистрации МВД – у них до того, как у меня кто-то из сотрудников отправит, они сначала проверяют, то есть с ошибкой отправить невозможно.","1"
"Программа сама выводит и показывает, что здесь есть ошибка. Человек пересматривает и перепроверяет. Почему мы не пользуемся их программой? Потому что у них нет работы непосредственно с отелями менеджера канала бронирования. Если бы такая функция была в Контур Отеле при регистрации в МВД, это было бы прекрасно. Было бы 10 баллов, было бы очень удобно. Чтобы можно было это все автоматически проверять. ; я обьяснила в прошлом вопросе; Все работает/нет проблем; все устраивает; все устраивает; регистрация в мвд","6"
"Всего хватает; Все работает/нет проблем; все устраивает; все устраивает; очень устраивает сотрудник Мария,всегда грамотно консультируют. По сервису-Удобно напрямую отправлять все данные в электронном виде, это самый главный плюс","10"
"Например, у меня люди бронируют как раз конец, правая сторона, начала дата, неудобно. Есть две кнопки, которые работают одинаково. Пока я не зполню данные гостя, я не могу его заселить. Это крайне неудобно. Пришла предварительная заявка - я ставлю ""закрыто"". потом я могу его заселить/выселить не внося данные гостя. Я не считаю, что это обязательная норма, чтобы была возможность заселить. ; уже сказали; Все работает/нет проблем; не связывался; сайт 101 был критично важен, она рассказала, что всё подсоединяется, она мне соврала, несколько раз задал прямой вопрос мне собрала... хотя в контур переходил из-за поддержки (прослушать, очень много); цена","7"
"Я могу сделать скидку, могу выставить общую цену, но нет пункта выставить суточную цену. И я могу делать, что хочу, цена пляшет одинаково, у вас этого нет. Переноса бронирование на самой шахматке нет. Есть кнопки двигаться по календарю. У вас это в верхнем правом углу с домиком кнопки и слева кнопки, они выполняют одну и ту же функцию. Хотя бы пускай одна перекидываться вперед на неделю. А вот то расстояние, что есть на экране просто перекидывать следующее. Мне нужно я слева по дню продвинулся. А так если мне нужно перекинуться вперед, то либо дату вводить.","6"
"абсолютно бесполезная, 1 бронирование за 2 года, люди либо бронируют через букинг, либо звонят по телефону(можно прослушать, говорил очень много); Не хватает переноса бронирования из номера в номер, не заходя в само бронирование. Просто на шахматке захватываешь бронирование и переносишь вверх/вниз. Второй момент – есть куча вещей, которые нужно открывать сайт и тыкать пальцем. Я пользовался 2 года Бенова, у них система намного продвинутой. Я уже объяснял менеджеру, кое-какие вещей переделали из этого списка. Например, когда я ставлю бронирование нет суточной цены.","1"
"процес подписания соглашения; привязка к кассе, бесплатно модуль онлайн бронирования( в комплексе); принимать оплату через кассу, без дополнительной оплаты,; не подгружает информацию по бронированию, ошибка выходит , с букинга; что бы не было сбоев; все устраивает; все устраивает; отчеты по продажам","4"
"Хотела и не смогла отредактировать уже имеющиеся номера под другого менеджера, заведена база номеров, сами номера хотелось бы отредактировать; Отредактировать уже имеющиеся номера под другого менеджера, сами названия номер редактировать. ; Пока с ними не сталкивалась; По Контуру мы общаемся по ФМС регистрации. Как-то там все четко. А именно по Контур Отелю еще не общалась.; Ничего/обычный сервис","4"
"он сейчас в зачаточном состоянии, я пришла на её место, перенастройку делаю, поэтому пока не работаю; детских мест в шахматке, сейчас можно выставить только кол-во человек, нам советовали сделать другие варианты тарифа, но это неудобно; когда заходим в модуль онлайн-бронирования у нас почему-то только ""забронировать без предоплаты"", а мы бронируем ТОЛЬКО с предоплатой;; Человек заходит на то же самое бронирование. И он выбирает не общее количество людей, а 2 взрослых и трое детей. И соответственно ниже цена, ведь детские места у нас всегда дешевле..","3"
"в системе учет идет по ночам, и по-этому неправильно сумма считается, так как мы считаем по дням (18 дней-17 ночей); чтобы считалось по дням; пока не можем в полной мере пользоваться Контур.отелем, из-за того что подсчет идет по ночам,а не по дням; чтобы считал по дням; все устраивает; все устраивает; не с чем сравнивать, только с контуром работали по электронной отправке","5"
"2 месяца назад написала заявление, код не получили до сих пор; миграция не идет, онлайн бронирование не идет, бронирование идет только по телефону; контур ФМС подключить, помощь в работе, что бы все настроили, онлайн бронирование что бы пошло, специалисты не отслеживают проблемы , анализы что бы делали, если что то не работает; программа стоит, не работает; программа работала; не обращались; все устраивает; Ничего/обычный сервис","1"
"Менеджер каналов бронирования-могут падать системы напрямую-очень удобно. мы избавлены от необходимости контролировать бронирование на площадках, с которыми мы работаем они все идут через сервис контур отель, контур фмс- очень удобен, избавляет от двойной работы, если какие-то реквизитов гостя не достает для отправик в мвд, вся информация отражатеся в карточкею Работа службы поддержки на 100%","9"
"Всего хватает; иногда в плане настроек вручную возникает проблема(может быть я сама не так понимаю программу), так или иначе возникают вопросы, но служба поддержки их решает, удаленный доступ -очень нравится и сама тех поддержка очень хорошая; Затруднились; все устраивает, всегда дозваниваемся, всегда имеем обратную связь, удаленный доступ очень нравится, ни разу не отказали в нем; все устраивает, все корректно, все логично и понятно; мне нравится простота и понятность системы, как шахматка бронирования выглядит , она понятно, то что цветами отмечается от бронирования до заезда, ориентироваться в шахматке бронирования очень просто.","10"
"на настройки вышла и далее зависла, не смогла настроить, (где идет указание цены), звонила в техподдержку, но не связалась","3"
"Всего хватает; Все работает/нет проблем; все устраивает; все устраивает; Ничего/обычный сервис","10"
"у меня например в настройка,я забила 14 мест. и когда я стала дополнять данные о доп кровати я никак не могу вбить дополнительные места .; ранее сказали; все устраивает; все устраивает; Ничего/обычный сервис","8"
"мне нужна функция когда регистрирую людей,заполняю документы в общем виде, там есть кнопочка ""групповая виза"", и когда я вставляю номер визы, он не проходит; приезжает группа, и я не могу их зарегать так как не проходит виза электронная; в регистрации гостей я не могу распечатать для них счет, почему пишут юрлицо и нужно ввести ИНН , а если приезжают физлица, и им нужен отчет, то его не выдает(например для командировочных).","3"
"с планшета нельзя пользоваться, на андроид не возможно, черный список; хочу пользоваться с планшета, плохих людей в черный список; Все работает/нет проблем; все устраивает; все устраивает; постоянные клиенты есть, запоминается в программе","2"
"Сумма считается сама , сам формируется счет а большего мне и не надо","10"
"Всего хватает; иногда когда занкогда вносишь данные по прописке иногда не вылазит название города, улицы, а начинаешь писать название вручную , и оно выдает ошибку, потому что заполнено не по шаблону.; чтобы когда вводишь название города или улицы, оно сразу выскакивало; все хорошо; все хорошо; когда человек приезжает уже не первый раз, когда мы его данные вводим, то сразу выскакивают его данные, не надо полностью вводить заново.","10"
"мы раньше были Гостевой Дом Байкальская Жемчужинка, то сейчас на основании постановления закона Хованской и постановления 1085 я просто вынуждена, чтобы не переводить в нежилое помещение, обозвать свои объекты меблированной комнатой, а не номерами. Поэтому там, где у меня в Контур Отеле расположены все мои комнаты еще есть как квартиры. Квартиры имеют юр адрес другой. Но они все налогооблагаемые, я за них отчитываюсь перед налоговым органом, оплачиваю налоги. Они стоят на налоговом учете. Но я не могу их включить при подключении к площадкам, чтобы подключение входило в эту же стоимость. У меня всего 6 комнат и 3 квартиры, то есть до 10 номеров. А мне приходится за подключение к площадкам оплачивать за комнаты, потому что они по одному юр адресу находятся и за каждую квартиру тоже самое. То есть мне надо оплачивать и за подключение, и за Контур Отель на одну квартиру. Это очень неудобно и дорогостояще.","1"
"Это такие сумасшедшие расходы для того, чтобы я могла подключить все свои объекты автоматически к менеджеру канала на площадках. И еще один момент: все в одно модуле сделать просто невозможно. Я должна зайти в один модуль, там у меня комнаты, в другой – одна квартира. В другой – другая квартира. Это вообще неудобно работать. Поэтому на следующий год, вот как только у меня плата закончится за подключение к каналам, я продлевать больше не буду. Потому что мне это неудобно, мне это дорого, у меня не такие доходы, как от гостиницы. Сколько раз я обращалась, вопрос не решаемый. Неизвестно, когда он решится или нет. Поэтому по этой причине я буду вынуждена отключиться от площадок. Придется вести вручную календарь на тех площадках, где размещены у меня рекламы. И они не будут в контур Отель автоматически у меня поступать. У меня нет таких денег, чтобы платить 6 000 за одну квартиру, за ведение Контур","1"
"В вашем Контуре ФМС я не могу эту информацию быстро получить. Все просчитывать надо вручную. Чтобы как-то автоматически, какая-то разработанная программа, где за период такой-то. И мне высветились все мои клиенты, которые были в этот период с нумерацией. Чтобы я видела – 47 человек у меня. Хочется, чтобы Контур ФМС более функционально работал. ; бланки строгой отчетности распечатать в формате А5, отправлять на эмейл счет , обучить работе с программой, электронную печать в эльбе вкл в контур(успокоить гостя), что бы не анулировалась заявка пока не вернем деньги гостю; Все работает/нет проблем; все устраивает, оперативно работают; все устраивает; база данных клиента(сохраняется), поисковик по гостю, номеру телефона, сохраняются данные о госте,; не получается в комплексе, разные юридические адреса, разные окведы, дорого","1"
"Мне не хватает… у вас разработаны бланки строгой отчётности БУ18, но они очень неудобные. Я не могу распечатать на формате А5, он распечатывается на весь формат А4. И постоянно уменьшать масштаб очень неудобно. Я этим сервисом не пользуюсь в вашей программе, а хотелось бы не заказывать в типографии. А именно, чтобы 1 кнопкой нажал бланк строгой отчётности – заполнить – вся информация забивает в Контур Отель, а вот этим сервисом я не могу в полной программе пользоваться. Еще у меня меблированные комнаты в модуле, я работаю в жилом помещении, и для того, чтобы не переводить в жилое, не оформлять … гостиницы у меня немного поменялся ОКВЭД и немного статус моих объектов. Я работала, когда в Контур Отеле, мне эти квартиры были подключение к моему модулю. Все к нему было подключено. И автоматически подключение у меня шло через менеджера каналов на площадках. Я доплачивала всего 1 000 рублей за подключение этих 3 квартир в год. Здесь мне надо оплачивать Контур Отель на 6 номеров, Контур Отель на 1 квартиру, Контур Отель на другую квартиру, на 3 квартиру. Отеля и подключения к площадкам. Это мне очень дорого. Никак не могу это с вашими менеджерами урегулировать. И не известно можно ли будет в перспективе вести все это в одном модуле. По Контуру ФМС вести отчётность не очень удобно. Если бы была такая функция, что я бы набила регистрация за 1 квартал – высветилась какая-то информация. Это приходится просто вручную считать, открывать поставленные на учет и смотреть по датам регистрации сколько человек у меня за 1 квартал поставлено на учет. Либо вести какой-то журнал учета дополнительно, что просто непозволительно при работе в такой шикарной системе. У нас бывает предоставьте информацию оп проживающих за такой-то период.","2"
"Затруднились; всё устраивает, проблем с ними вообще никогда не было, всегда на помощь придут, покажут-расскажут; нет, всё нормально, всё устраивает; мне кажется, всё тут нужно, мы поэтому и приобрели эту программу; ну то что вкладка профили гостей, сохраняются все данные гостей - это лучшее, всё сохраняется, всё очень удобно, сокращает время регистрации","8"
"наверное, не нуждаемся пока в ней, скорее всего не подключена, наверное, точно не скажу, не изучала; у нас онлайн касса не подключена, мы счета распечатываем отдельно и поправляем вручную, у нас счёт на директора, который имеет печать; 2 счёта на одном листе не распечатываются; возможность через сервис принять или подправить информацию для счёта, может быть как-то можно в настройках эту информацию, как вот придумать - не знаю даже, нам бы хоть кнопка, хоть функция; регистрация в МВД долго уходит, по разному работает, бывает быстро, бывает долго;","7"
"Я не могу заселить другого человека, если человек заселился в 5 вечера, то я не могу заселить другого клиента, даже если он выехал через 3 часа,. Не хватает почасового обслуживания.; уже сказали; все устраивает; пока хамство не было,все корректно; лояльность ваша,пунктуальность работника. Кроме того,что не устраивает(сказали ранее)все ост устраивает","3"
"сделали заявку ,ждем ответа от МВД; только начали работу, ближайшее время будем; мне не хватает почасового обслуживания, так как обращаются люди,которым полные сутки не нужны.Для нас это очень важно! так как мы находимся в зоне аэропорта; уже ответили; да бывает, если за селяем в одну из комнат то перескакивает на ""без номера"".","7"
"Всего хватает; Все работает/нет проблем; все устраивает; все хорошо; самое главное простота, потому что к нам приходят девушки работать, и они через сутки уже осваивают сервис. Мне нравится создавать и убирать тарифы.","10"
"Когда мне покажут визуально, я уже знаю. А так как я приобрела я потыкала, пощелкала, ничего не вышла. Поэтому я в нем и не работал. Может это и актуальная тема, может и работает, у меня ничего не получилось.","8"
"Нет пока. Мы пользовались им год, но так как по нему у меня не было ни брони, ничего, мне пришлось от него отказаться. Она не была настоль актуальна. Мы в основном мы и не пользовались. Оценить полностью эту программу я не смогла, потому что, если бы приехал менеджер, я человек, который не особо разбирается в удаленном доступе, он бы показал, как в нем работать визуально.","5"
"Все работает/нет проблем; всегда помогают, дозвониться до вас несложно зайти могут в саму программу и посмотреть всё, нареканий вообще никаких; нет; Мне нравятся отчеты. Что я могу в любой момент зайти и посмотреть на какую сумму проживали и могу посмотреть % приживаемости гостиницы. Какие номера больше использовались, сколько прожило у нас по реестрам людей по безналичному расчёту. И отчеты можно формировать очень быстро. Были по первости какие нарекания, мы созвонились, они тут же исправлялись. Нравятся отчёты по уборке номеров. Это очень удобно.","10"
"ну вот недавно я оставляла запрос на доработку, есть такие услуги есть контрагенты, я могу ввести данные контрагенты, с кем у нас заключён договор, а вот распечатать не могу, чтобы в отчётах тоже была эта функция, в прошлом месте столкнулись, (прослушать) № заявки 23748631; Я так долго объясняла тогда это молодому человеку, и рассказывать это заново нет ни времени, ни желания.","7"
"Меня бы устроило например с 10 до 10,чтобы я могла видеть по сменам каждого администратора. И я бы у конкретного администратора смогла смотреть оплату, чтобы не вести рукописную отчетность, чтобы свериться. Возможность выставлять часы была бы очень удобной . и возможность заселять по часам!; уже сказали; нету связи между букингом и программой по часам. то есть человек может забронировать номер,который еще занят, но по букингу он уже пустой(так как человек на сутки заселился) интеграции по времени не хватает. чтобы у них не было возможности забронировать номер,пока человек еще не выехал.Чтобы видели время наше выселения чтобы как у нас в программе. чтобы до ВРЕМЕНИ выселения номер был занят на букинге. И человек сможет заселиться по букингу в него в 2 часа ночи,а у меня там человек живет еще. Чтобы до времени пока живет человек, не давал через букинг возможность заселиться. Еще бывает что видимо происходит обновление программы и необходима интеграция с браузером, и бывает не пускает браузер(предложили ребята др браузер) . единственно, что когда через мобил версию захожу выскакивает ошибка ""Обновите браузер"" .","8"
"Шахматка простая и удобная. То что можно по отедльности по номерам увидеть ,когда в отчетах смотришь, то просмотреть заселение выселение,сколько какой номер принес дохода. Можно произвести анализ по номерам.","10"
